Doctor Name,Designation,Department,Hospital,Address
Prof. (Dr.) Salim Mohammad Jahangir,Coordinator & Senior Consultant-Critical Care (Neuro ICU),Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Nurun Naher,Senior Consultant - (Paediatric ICU),Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Brig. Gen.) Dr. Mir Mahmud Hossain,Senior Consultant - (Neuro Anesthesia & Neuro ICU),Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Assoc. Prof. Dr. Mohammad Farid Hossein,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Dr.) S. M. Abu Zafar,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Md. Ezharul Haque,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Lutful L. Chowdhury,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. lqbal Murshed Kabir,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Sayeda Rahim,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Shaila Perveen,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Mrinal Kumar Sarker,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Sayada Sanjid Ara Nupur,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. A F M Ekramuddaula,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Mohammad Asaduzzaman Rasel,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Md. Zillur Rahman,Senior Consultant -  ENT and Head-Neck Surgeon,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Ms. Tamanna Chowdhury,Principal Dietician,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Md. Mizanur Rahman,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Nikhat Ara,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Ahmed Khaled,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Brig Gen (Retd) Dr. S. M. Mahbubul Alam,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Debashish Saha,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Fahmida Begum,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Md. Masum Kamal Khan,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Ebadur Rahman,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Tabassum Samad,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. M. Zahid Hasan,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Brig. Gen. Dr. SM Shameem Waheed,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. ATM Mowladad Chowdhury,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. M. Ali,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Md. Sadiqul Islam,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Borhan Uddin Ahmad,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Nikhat Shahla Afsar,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Abdullah Al Mamun,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Anita Marium Islam,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. K.F.M. Ayaz,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Dr.) Md. Zulfiqur Rahman Khan,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Mohammed Fazlul Kabir,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Raihan Hussain,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Md. Aliuzzaman Joarder,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Md. Zillur Rahman,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Col.) Dr. Md. Aminul Islam,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Khandker Mahbubar Rahman,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. S.M. Hasan Shahriar,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Abdul Kader Shaikh,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Shahpar Nahrir,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Sandip Kumar Dash,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Anwar Israil,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Fahmida Begum,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Md. Masum Kamal Khan,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Ebadur Rahman,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Tabassum Samad,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Brig Gen) Dr. Md Shahinur Rahman,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Md. Sadiqul Islam,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Abdullah Al Mamun,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Farzana Shumy,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Rowshne Jahan,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. SM Abdullah Al Mamun,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Ziaul Huq,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Nigar Sultana,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Mahmood Hasan,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Farzana Rahman,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Ajay Abrol,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Brig. Gen.) Dr. Masroor Hasan,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Mohammed Mohiuddin Araf,Coordinator & Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Abu Jafar Mohammed Saleh,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Quazi Smita Haq,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. M. Zahid Hasan,Coordinator & Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Brig. Gen. Dr. SM Shameem Waheed,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. ATM Mowladad Chowdhury,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
